iter	RMSE
0	0.636463795
1	0.6083358417
2	0.5820190638
3	0.5565898981
4	0.5323298427
5	0.5093194792
6	0.4877019514
7	0.4676754978
8	0.4482796606
9	0.4298404398
10	0.4127168489
11	0.3965021724
12	0.3806167217
13	0.3659745725
14	0.3519809157
15	0.3391161643
16	0.326900093
17	0.3153838831
18	0.3046014189
19	0.2945439599
20	0.2852281522
21	0.2759997976
22	0.2677465242
23	0.2600872978
24	0.2524740986
25	0.2458253705
26	0.2392433598
27	0.233160438
28	0.2274773893
29	0.2221655949
30	0.2172006471
31	0.2125133884
32	0.2083262427
33	0.2042501269
34	0.2006708073
35	0.1972011372
36	0.1941074689
37	0.1911811812
38	0.1884838862
39	0.1859297792
40	0.1835764182
41	0.1813899253
42	0.1794288134
43	0.1775419042
44	0.1758002864
45	0.1741804316
46	0.1726808416
47	0.1713478598
48	0.1701276766
49	0.168941224
50	0.1678653989
51	0.1668767201
52	0.1659698952
53	0.1650839048
54	0.1643049888
55	0.1635844228
56	0.1628851083
57	0.1622626949
58	0.1617016267
59	0.1611954089
60	0.1606850566
61	0.1602347977
62	0.1598039968
63	0.1594070697
64	0.1590618295
65	0.158723468
66	0.158434404
67	0.1581350869
68	0.157870913
69	0.1575925585
70	0.1573397581
71	0.1570940749
72	0.1568875589
73	0.1566774701
74	0.1565040246
75	0.1563253647
76	0.1561516993
77	0.1559853147
78	0.1558247358
79	0.1557202068
80	0.1555811997
81	0.1554594346
82	0.1553515965
83	0.1552460612
84	0.1551488706
85	0.1550483584
86	0.1549556462
87	0.1548627187
88	0.1547524433
89	0.1546619096
90	0.1545942589
91	0.1545221996
92	0.1544654014
93	0.1543758185
94	0.1542983945
95	0.1542394213
96	0.1541567336
97	0.1540972071
98	0.1540299983
99	0.1539744282
100	0.1539252192
101	0.1538688782
102	0.1538199876
103	0.1537503222
104	0.1536909172
105	0.1536480922
106	0.1536053705
107	0.1535672911
108	0.1535138165
109	0.153483431
110	0.1534632105
111	0.153418029
112	0.1533897565
113	0.1533499456
114	0.1533146368
115	0.1532754856
116	0.1532122111
117	0.1531959458
118	0.1531751908
119	0.1531453515
120	0.1531122916
121	0.153076612
122	0.1530252095
123	0.1529760715
124	0.1529276955
125	0.1528937393
126	0.1528734227
127	0.1528421939
128	0.1528187942
129	0.1527970227
130	0.1527587671
131	0.1527276793
132	0.152699883
133	0.1526794603
134	0.1526599295
135	0.1526421602
136	0.1526176878
137	0.1526002349
138	0.1525671189
139	0.1525354122
140	0.1525255619
141	0.1524941308
142	0.1524778853
143	0.1524485784
144	0.1524269425
145	0.1523910558
146	0.1523638981
147	0.1523499718
148	0.1523210181
149	0.1523056132
150	0.1522927206
151	0.1522584
152	0.1522312582
153	0.1522044228
154	0.1521683798
155	0.1521373239
156	0.1521160785
157	0.1520891287
158	0.1520708953
159	0.1520504367
160	0.1520208909
161	0.1519963395
162	0.1519767061
163	0.1519612108
164	0.1519380287
165	0.1519317876
166	0.1519123246
167	0.1518973799
168	0.1518876538
169	0.1518481318
170	0.1518315748
171	0.1518208332
172	0.1517994787
173	0.1517810186
174	0.1517598248
175	0.1517394178
176	0.1517094703
177	0.151696373
178	0.1516842389
179	0.1516720531
180	0.1516400387
181	0.1516306432
182	0.151613899
183	0.1515930368
184	0.1515631097
185	0.1515488213
186	0.151534773
187	0.1515295302
188	0.1515129032
189	0.1514875368
190	0.151467658
191	0.1514573125
192	0.1514388544
193	0.1514054211
194	0.1514004865
195	0.1513893612
196	0.1513746789
197	0.151369072
198	0.1513583838
199	0.1513555184
200	0.1513501823
201	0.1513356261
202	0.1513104699
203	0.1513047157
204	0.1512899226
205	0.1512763642
206	0.151266578
207	0.1512647826
208	0.1512553732
209	0.1512346033
210	0.151224264
211	0.1512101262
212	0.1512091699
213	0.1511845765
214	0.1511670072
215	0.1511487772
216	0.1511314693
217	0.1511265417
218	0.1511110631
219	0.1510953445
220	0.1510806645
221	0.1510726418
222	0.1510590792
223	0.1510446037
224	0.1510225702
225	0.1510050763
226	0.1509923175
227	0.1509762752
228	0.150971352
229	0.1509599217
230	0.1509527092
231	0.1509370566
232	0.150923204
233	0.1509065769
234	0.1508933568
235	0.1508779795
236	0.1508636474
237	0.1508434934
238	0.1508390883
239	0.150807249
240	0.1507882934
241	0.1507812076
242	0.1507642823
243	0.1507468723
244	0.1507418205
245	0.1507343779
246	0.1507177137
247	0.1507070214
248	0.1506980241
249	0.1506891892
250	0.1506723731
251	0.1506485466
252	0.150643025
253	0.1506186149
254	0.1505978652
255	0.1505786566
256	0.1505655399
257	0.1505548507
258	0.1505522407
259	0.1505352221
260	0.1505037326
261	0.1504968879
262	0.1504873427
263	0.1504612298
264	0.1504490053
265	0.1504331272
266	0.150426618
267	0.1504061479
268	0.1504038088
269	0.150389447
270	0.1503889967
271	0.1503864883
272	0.1503679007
273	0.1503596439
274	0.1503312404
275	0.1503065551
276	0.1503018382
277	0.150278923
278	0.1502561207
279	0.1502481871
280	0.1502439295
281	0.1502368327
282	0.150227122
283	0.1502106409
284	0.1501787909
285	0.1501652064
286	0.1501531215
287	0.1501358763
288	0.1501315565
289	0.1501263586
290	0.1501201734
291	0.1501161059
292	0.1501103986
293	0.1500790621
294	0.1500508732
295	0.1500490462
296	0.1500362543
297	0.1500239328
298	0.1500202728
299	0.1500131704
300	0.1500039848
301	0.1499923098
302	0.1499896169
303	0.1499884047
304	0.1499854598
305	0.1499724634
306	0.1499615612
307	0.1499381844
308	0.1499338698
309	0.1499282982
310	0.1499016522
311	0.1498942354
312	0.1498861132
313	0.1498710205
314	0.1498604274
315	0.1498478738
316	0.1498385575
317	0.1498312317
318	0.1498229544
319	0.1498066118
320	0.1497765688
321	0.1497669523
322	0.1497649776
323	0.1497617072
324	0.1497445181
325	0.1497445006
326	0.1497374274
327	0.1497298552
328	0.1497204466
329	0.1497026005
330	0.1496953603
331	0.149686368
332	0.1496855868
333	0.149674941
334	0.1496737948
335	0.1496693223
336	0.1496683174
337	0.1496339384
338	0.1496065515
339	0.1495861262
340	0.1495678679
341	0.1495656711
342	0.1495645912
343	0.1495450575
344	0.1495409012
345	0.1495337955
346	0.1495254969
347	0.1495137675
348	0.1495066678
349	0.1494993765
350	0.1494971566
351	0.1494800008
352	0.1494737238
353	0.1494695586
354	0.1494587612
355	0.1494534533
356	0.1494505831
357	0.1494446989
358	0.1494362133
359	0.1494308411
360	0.1494270555
361	0.1494177508
362	0.1493906027
363	0.1493811184
364	0.149374385
365	0.1493508545
366	0.1493281601
367	0.1493175457
368	0.1493150572
369	0.1493081571
370	0.1492881185
371	0.1492777659
372	0.1492625587
373	0.1492496357
374	0.1492472661
375	0.1492429766
376	0.1492370111
377	0.1492296222
378	0.1492233789
379	0.1492034856
380	0.1491851965
381	0.1491741383
382	0.149164122
383	0.1491488111
384	0.1491424598
385	0.1491087805
386	0.149102079
387	0.1490966741
388	0.1490897666
389	0.1490824207
390	0.149053548
391	0.1490495159
392	0.1490442936
393	0.1490269282
394	0.1490233852
395	0.1490157877
396	0.1490115837
397	0.1490025532
398	0.1489851587
399	0.1489737979
400	0.1489737706
401	0.1489665871
402	0.1489645846
403	0.1489497505
404	0.1489436951
405	0.1489382049
406	0.1489381768
407	0.1489328462
408	0.1489240618
409	0.1489189716
410	0.1489139989
411	0.1489122979
412	0.1489108719
