iter	Passed	Remaining
0	27	19540
1	56	19642
2	74	17410
3	100	17432
4	121	16881
5	139	16155
6	161	15939
7	187	16177
8	212	16292
9	239	16528
10	259	16242
11	287	16502
12	307	16263
13	335	16418
14	362	16575
15	382	16366
16	403	16209
17	427	16195
18	456	16361
19	484	16477
20	513	16616
21	547	16875
22	581	17102
23	614	17307
24	644	17400
25	676	17537
26	699	17431
27	726	17429
28	748	17321
29	778	17390
30	807	17417
31	835	17438
32	867	17529
33	896	17566
34	925	17583
35	955	17630
36	975	17483
37	1000	17434
38	1028	17440
39	1055	17410
40	1087	17480
41	1116	17495
42	1137	17382
43	1161	17317
44	1184	17241
45	1215	17286
46	1238	17203
47	1261	17132
48	1287	17102
49	1310	17034
50	1340	17061
51	1371	17088
52	1395	17029
53	1425	17052
54	1456	17078
55	1486	17090
56	1511	17050
57	1533	16978
58	1563	16990
59	1594	17003
60	1622	16993
61	1651	16999
62	1672	16912
63	1698	16879
64	1732	16920
65	1755	16863
66	1783	16846
67	1805	16785
68	1829	16730
69	1859	16738
70	1890	16750
71	1919	16743
72	1954	16785
73	1978	16739
74	2007	16732
75	2043	16777
76	2071	16762
77	2103	16773
78	2146	16871
79	2178	16885
80	2213	16912
81	2247	16938
82	2284	16982
83	2313	16963
84	2338	16923
85	2367	16904
86	2389	16839
87	2420	16830
88	2452	16839
89	2480	16812
90	2509	16792
91	2538	16778
92	2560	16714
93	2589	16693
94	2613	16643
95	2636	16585
96	2660	16540
97	2689	16518
98	2712	16466
99	2745	16471
100	2768	16420
101	2791	16367
102	2820	16345
103	2849	16327
104	2882	16332
105	2906	16288
106	2935	16267
107	3013	16519
108	3064	16616
109	3102	16639
110	3130	16611
111	3169	16641
112	3203	16640
113	3234	16628
114	3263	16601
115	3294	16584
116	3329	16589
117	3356	16556
118	3392	16564
119	3431	16584
120	3453	16526
121	3538	16763
122	3607	16922
123	3694	17160
124	3743	17218
125	3812	17369
126	3856	17398
127	3911	17478
128	3953	17499
129	3992	17505
130	4024	17480
131	4055	17452
132	4078	17387
133	4102	17329
134	4120	17246
135	4143	17181
136	4167	17126
137	4188	17055
138	4224	17050
139	4251	17006
140	4277	16958
141	4301	16902
142	4332	16874
143	4354	16815
144	4378	16758
145	4408	16729
146	4436	16691
147	4460	16635
148	4489	16603
149	4513	16548
150	4541	16510
151	4566	16463
152	4590	16413
153	4617	16371
154	4652	16357
155	4674	16300
156	4699	16254
157	4722	16199
158	4747	16152
159	4778	16126
160	4810	16104
161	4836	16060
162	4861	16016
163	4887	15974
164	4913	15930
165	4941	15895
166	4966	15850
167	4988	15795
168	5012	15750
169	5036	15703
170	5074	15699
171	5098	15650
172	5130	15627
173	5163	15609
174	5193	15580
175	5221	15547
176	5247	15505
177	5282	15492
178	5305	15443
179	5326	15388
180	5346	15329
181	5371	15289
182	5391	15230
183	5420	15202
184	5448	15168
185	5473	15125
186	5494	15073
187	5523	15043
188	5557	15025
189	5584	14991
190	5614	14963
191	5644	14935
192	5670	14895
193	5695	14854
194	5715	14801
195	5739	14758
196	5767	14725
197	5793	14687
198	5817	14647
199	5843	14608
200	5866	14564
201	5885	14509
202	5908	14465
203	5938	14438
204	5961	14394
205	5986	14357
206	6012	14319
207	6026	14253
208	6051	14217
209	6072	14168
210	6094	14125
211	6124	14098
212	6132	14020
213	6157	13984
214	6182	13946
215	6214	13924
216	6248	13908
217	6279	13883
218	6308	13855
219	6334	13821
220	6366	13798
221	6390	13759
222	6415	13722
223	6438	13682
224	6463	13645
225	6492	13617
226	6518	13582
227	6542	13543
228	6564	13501
229	6590	13466
230	6619	13438
231	6650	13415
232	6677	13383
233	6707	13357
234	6735	13327
235	6761	13293
236	6784	13254
237	6810	13220
238	6837	13189
239	6867	13162
240	6897	13136
241	6924	13105
242	6950	13070
243	6977	13039
244	7002	13003
245	7028	12971
246	7054	12938
247	7082	12907
248	7107	12874
249	7141	12854
250	7166	12820
251	7199	12798
252	7222	12761
253	7248	12727
254	7269	12685
255	7291	12646
256	7322	12622
257	7350	12593
258	7385	12575
259	7412	12544
260	7440	12514
261	7467	12483
262	7491	12448
