pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,484.8388738064611
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,484.9660195117226
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,485.364353996162
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,484.36069863418646
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,479.47201400698606
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,477.5167507839674
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,476.76251490647104
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,482.6871807629593
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,483.978627795086
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,483.5825626997005
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,482.53332097881486
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,477.76516160855317
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,475.6763716849865
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,475.14343090383875
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,482.89936803074914
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,484.3386087183171
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,484.50870196840367
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,483.02911108388685
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,477.96683252512594
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,475.4903115124673
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,474.0532008683283
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,480.96346699418996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,482.36962621465574
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,482.0020005634828
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,482.6874119325888
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,481.4718107851275
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,480.75348592702994
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,481.7795514180589
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,477.02243683883825
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,477.8508764242101
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,487.43732422117733
